#SUBMITTED ID	LOCATION_ARM	NAME	SYMBOL
FBgn0030429	X	-	CG4661
FBgn0030462	X	-	CG15742
FBgn0030465	X	-	CG15743
FBgn0030479	X	Rbp1-like	Rbp1-like
FBgn0030481	X	-	CG1662
FBgn0030484	X	Glutathione S transferase T4	GstT4
FBgn0030495	X	-	CG11816
FBgn0030503	X	Transport and Golgi organization 2	Tango2
FBgn0030505	X	NFAT nuclear factor	NFAT
FBgn0030508	X	-	CG15760
FBgn0030512	X	NAD synthetase	Nadsyn
FBgn0030520	X	Programmed cell death 4	Pdcd4
FBgn0030521	X	Cathepsin B	CtsB
FBgn0030524	X	-	CG10993
FBgn0030536	X	-	CG11068
FBgn0030545	X	-	CG11590
FBgn0030562	X	-	CG9400
FBgn0030566	X	Nascent-associated complex beta-subunit-like, testis 4	betaNACtes4
FBgn0030574	X	sobremesa	sbm
FBgn0030583	X	-	CG14410
FBgn0030590	X	-	CG9518
FBgn0030594	X	fezzik	fiz
FBgn0030595	X	-	CG14406
FBgn0030599	X	-	CG9030
FBgn0030607	X	doppelganger von brummer	dob
FBgn0030614	X	-	CG9072
FBgn0030615	X	Cytochrome P450 4s3	Cyp4s3
FBgn0030617	X	-	CG9095
FBgn0030620	X	-	CG5662
FBgn0030622	X	-	CG9101
FBgn0030623	X	Protein phosphatase Y regulator 1	PPYR1
FBgn0030625	X	-	CG5877
FBgn0030629	X	-	CG9123
FBgn0030641	X	-	CG6299
FBgn0030642	X	-	CG15642
FBgn0030647	X	-	CG6324
FBgn0030648	X	-	CG6340
FBgn0030653	X	-	CG7860
FBgn0030660	X	-	CG8097
FBgn0030661	X	Alkaline phosphatase 11	Alp11
FBgn0030662	X	Chondroitin sulfate synthase	Chsy
FBgn0030663	X	-	CG8117
FBgn0030667	X	-	CG15599
FBgn0030669	X	-	CG9240
FBgn0030678	X	-	CG11679
FBgn0030694	X	-	CG15602
FBgn0030697	X	-	CG8565
FBgn0030719	X	eukaryotic translation initiation factor 5	eIF5
FBgn0030721	X	-	CG12698
FBgn0030722	X	-	CG12395
FBgn0030725	X	-	CG8958
FBgn0030743	X	-	CG9921
FBgn0030744	X	-	CG9992
FBgn0030747	X	-	CG4301
FBgn0030748	X	TNF-receptor-associated factor-like	Traf-like
FBgn0030752	X	-	CDC50
FBgn0030763	X	-	CG9782
FBgn0030764	X	-	CG9777
FBgn0030768	X	Nuclear envelope integral membrane protein	Nemp
FBgn0030773	X	-	CG9676
FBgn0030774	X	spheroide	sphe
FBgn0030775	X	-	CG9673
FBgn0030776	X	-	CG4653
FBgn0030777	X	-	CG9672
FBgn0030780	X	-	CG13008
FBgn0030799	X	-	CG4872
FBgn0030814	X	-	CG4955
FBgn0030828	X	-	CG5162
FBgn0030836	X	-	CG8664
FBgn0030837	X	-	CG8661
FBgn0030838	X	-	CG5445
FBgn0030839	X	-	CG5613
FBgn0030846	X	-	CG12992
FBgn0030850	X	Stasimon	stas
FBgn0030859	X	-	CG12990
FBgn0030864	X	-	CG8173
FBgn0030881	X	-	CG12985
FBgn0030918	X	-	CG15056
FBgn0030928	X	-	CG15044
FBgn0030929	X	-	CG15043
FBgn0030932	X	gamma-glutamyl transpeptidase	Ggt-1
FBgn0030933	X	-	CG6470
FBgn0030936	X	-	CG6481
FBgn0030940	X	-	CG15040
FBgn0030951	X	-	CG6873
FBgn0030952	X	-	CG12609
FBgn0030955	X	-	CG6891
FBgn0030956	X	-	CG18259
FBgn0030968	X	-	CG7322
FBgn0030975	X	Succinate dehydrogenase, subunit B (iron-sulfur)-like	SdhBL
FBgn0030979	X	-	CG14190
FBgn0030981	X	-	CG14191
FBgn0030989	X	Innexin 5	Inx5
FBgn0030993	X	Mec2	Mec2
FBgn0030998	X	-	CG14195
FBgn0030999	X	Mucin related 18B	Mur18B
FBgn0031010	X	-	CG8028
FBgn0031011	X	-	CG8034
FBgn0031016	X	kekkon 5	kek5
FBgn0031023	X	-	CG14200
FBgn0031061	X	-	CG14232
FBgn0031077	X	THADA	THADA
FBgn0031078	X	Nucleoporin 205kD	Nup205
FBgn0031080	X	-	CG12655
FBgn0031082	X	-	CG17003
FBgn0031085	X	-	CG9570
FBgn0031091	X	PHD finger protein 7	Phf7
FBgn0031097	X	obstructor-A	obst-A
FBgn0031104	X	jean-baptiste	jb
FBgn0031107	X	HECT and RLD domain containing protein 2	HERC2
FBgn0031108	X	-	CG15459
FBgn0031127	X	-	CG1835
FBgn0031128	X	hydra	hydra
FBgn0031129	X	-	CG1324
FBgn0031130	X	-	CG15452
FBgn0031134	X	-	CG1314
FBgn0031141	X	-	CG1304
FBgn0031148	X	Cystathionine beta-synthase	Cbs
FBgn0031150	X	bves	bves
FBgn0031155	X	-	CG15446
FBgn0031157	X	-	CG1503
FBgn0031163	
FBgn0031164	X	-	CG1724
FBgn0031168	X	-	CG1722
FBgn0031169	X	-	CG1494
FBgn0031170	X	ATP binding cassette subfamily A member 3	Abca3
FBgn0031182	X	Cytochrome P450 6t1	Cyp6t1
FBgn0031184	X	-	CG14615
FBgn0031188	X	-	CG14613
FBgn0031220	2L	-	CG4822
FBgn0031235	2L	-	CG13693
FBgn0031247	2L	-	CG11562
FBgn0031260	2L	Signal peptide peptidase	Spp
FBgn0031263	2L	Translocator protein	Tspo
FBgn0031273	2L	-	CG2839
FBgn0031279	2L	-	CG3544
FBgn0031292	2L	-	CG15824
FBgn0031296	2L	-	CG4415
FBgn0031307	2L	Major Facilitator Superfamily Transporter 3	MFS3
FBgn0031312	2L	Transport and Golgi organization 14	Tango14
FBgn0031313	2L	-	CG5080
FBgn0031317	2L	Charon	Charon
FBgn0031323	2L	-	CG5139
FBgn0031331	2L	-	CG5440
FBgn0031337	2L	-	CG14346
FBgn0031343	2L	-	CG18131
FBgn0031345	2L	-	CG18132
FBgn0031356	2L	-	CG17660
FBgn0031357	2L	mitochondrial ribosomal protein L48	mRpL48
FBgn0031360	2L	-	CG31937
FBgn0031364	2L	-	CG17648
FBgn0031372	2L	-	CG7295
FBgn0031373	2L	-	CG15358
FBgn0031378	2L	-	CG15362
FBgn0031384	2L	-	CG4238
FBgn0031388	2L	-	CG12674
FBgn0031389	2L	-	CG4259
FBgn0031412	2L	-	CG16995
FBgn0031418	2L	-	CG3609
FBgn0031426	2L	-	CG18641
FBgn0031432	2L	Cytochrome P450 309a1	Cyp309a1
FBgn0031434	2L	insensitive	insv
FBgn0031440	2L	-	CG15395
FBgn0031442	2L	Proteasome beta4 subunit-related 1	Prosbeta4R1
FBgn0031461	2L	dawdle	daw
FBgn0031463	2L	Glucose-6-Phosphatase	G6P
FBgn0031471	2L	-	CG3117
FBgn0031472	2L	-	CG2983
FBgn0031483	2L	-	CG9641
FBgn0031484	2L	-	CG3165
FBgn0031489	2L	-	CG17224
FBgn0031490	2L	-	CG17264
FBgn0031513	2L	-	CG3347
FBgn0031515	2L	-	CG9664
FBgn0031516	2L	-	CG9663
FBgn0031517	2L	-	CG15406
FBgn0031519	2L	Fidgetin	Fign
FBgn0031520	2L	-	CG8837
FBgn0031522	2L	-	CG3285
FBgn0031531	2L	-	CG8840
FBgn0031533	2L	-	CG2772
FBgn0031534	2L	Sorting nexin 1	Snx1
FBgn0031542	2L	-	CG15414
FBgn0031547	2L	Scavenger receptor class C, type IV	Sr-CIV
FBgn0031550	2L	Intraflagellar transport 57	IFT57
FBgn0031554	2L	-	CG15418
FBgn0031559	2L	-	CG3513
FBgn0031562	2L	-	CG3604
FBgn0031571	2L	bark beetle	bark
FBgn0031579	2L	-	CG15422
FBgn0031585	2L	-	CG2955
FBgn0031609	2L	-	CG15443
FBgn0031620	2L	-	CG11929
FBgn0031621	2L	Early boundary activity 3	Elba3
FBgn0031622	2L	-	CG3251
FBgn0031623	2L	TBP-associated factor 30kD subunit alpha-2	Taf12L
FBgn0031645	2L	-	CG3036
FBgn0031654	2L	Jonah 25Bii	Jon25Bii
FBgn0031659	2L	-	CG14043
FBgn0031661	2L	GDP-mannose 4,6-dehydratase	Gmd
FBgn0031676	2L	senju	senju
FBgn0031683	2L	-	CG4230
FBgn0031688	2L	Cytochrome P450 28d2	Cyp28d2
FBgn0031689	2L	Cytochrome P450 28d1	Cyp28d1
FBgn0031710	2L	Vacuolar protein sorting 52	Vps52
FBgn0031722	2L	-	CG14011
FBgn0031723	2L	-	CG7251
FBgn0031728	2L	Heat shock protein 60C	Hsp60C
FBgn0031729	2L	-	CG12511
FBgn0031730	2L	-	CG7236
FBgn0031732	2L	-	CG11149
FBgn0031733	2L	-	CG14006
FBgn0031741	2L	-	CG11034
FBgn0031746	2L	-	CG9029
FBgn0031749	2L	-	CG14000
FBgn0031772	2L	-	CG13994
FBgn0031784	2L	-	CG9222
FBgn0031786	2L	-	CG13989
FBgn0031800	2L	-	CG9497
FBgn0031801	2L	-	CG9498
FBgn0031816	2L	Ring finger and CHY zinc finger domain containing 1	Rchy1
FBgn0031844	2L	-	CG13771
FBgn0031849	2L	-	CG11327
FBgn0031856	2L	-	CG11322
FBgn0031857	2L	Linear Ubiquitin E3 ligase	LUBEL
FBgn0031858	2L	-	CG17378
FBgn0031869	2L	-	CG18304
FBgn0031886	2L	Nuf2	Nuf2
FBgn0031896	2L	-	CG4502
FBgn0031910	2L	-	CG15818
FBgn0031913	2L	-	CG5958
FBgn0031918	2L	-	CG6055
FBgn0031929	2L	-	CG18585
FBgn0031935	2L	-	CG13793
FBgn0031941	2L	ATP synthase, subunit G-like	ATPsynGL
FBgn0031945	2L	-	CG7191
FBgn0031947	2L	Bromodomain containing 7/9	Brd7-9
FBgn0031948	2L	-	CG7149
FBgn0031968	2L	-	CG7231
FBgn0031969	2L	peste	pes
FBgn0031974	2L	-	CG12560
FBgn0031986	2L	-	CG8673
FBgn0032004	2L	-	CG8292
FBgn0032015	2L	Oligosaccharide transferase gamma subunit	Ostgamma
FBgn0032018	2L	-	CG7806
FBgn0032025	2L	-	CG7778
FBgn0032039	2L	-	CG13385
FBgn0032042	2L	-	CG13398
FBgn0032047	2L	-	CG13088
FBgn0032061	2L	-	CG9314
FBgn0032068	2L	Lysosomal alpha-mannosidase V	LManV
FBgn0032069	2L	Lysosomal alpha-mannosidase VI	LManVI
FBgn0032072	2L	-	CG9483
FBgn0032074	2L	Tetraspanin 29Fa	Tsp29Fa
FBgn0032075	2L	Tetraspanin 29Fb	Tsp29Fb
FBgn0032076	2L	Argininosuccinate lyase	Argl
FBgn0032077	2L	-	CG9515
FBgn0032079	2L	-	CG31886
FBgn0032080	2L	-	CG9525
FBgn0032087	2L	-	CG9568
FBgn0032088	2L	-	CG13102
FBgn0032094	2L	-	CG12439
FBgn0032104	2L	australin	aust
FBgn0032105	2L	borealin-related	borr
FBgn0032116	2L	Multicopper oxidase 1	Mco1
FBgn0032117	2L	alpha1,3-fucosyltransferase B	FucTB
FBgn0032120	2L	-	CG33298
FBgn0032140	2L	-	CG13117
FBgn0032144	2L	-	CG17633
FBgn0032156	2L	-	CG13124
FBgn0032163	2L	TbCMF46	TbCMF46
FBgn0032175	2L	-	CG13131
FBgn0032176	2L	-	CG13127
FBgn0032178	2L	Serpin 31A	Spn31A
FBgn0032225	2L	-	CG5022
FBgn0032235	2L	-	CG5096
FBgn0032242	2L	-	CG5355
FBgn0032253	2L	Lysosomal alpha-mannosidase I	LManI
FBgn0032264	2L	Lipase 4	Lip4
FBgn0032265	2L	-	CG18301
FBgn0032266	2L	-	CG18302
FBgn0032271	2L	-	CG7329
FBgn0032285	2L	-	CG17108
FBgn0032286	2L	-	CG7300
FBgn0032292	2L	ER membrane protein complex subunit 3	EMC3
FBgn0032297	2L	-	CG17124
FBgn0032313	2L	-	CG14070
FBgn0032318	2L	-	CG14072
FBgn0032322	2L	-	CG16743
FBgn0032337	2L	Allatostatin double C	AstCC
FBgn0032345	2L	-	CG14921
FBgn0032350	2L	-	CG6287
FBgn0032354	2L	-	CG4788
FBgn0032364	2L	-	CG4970
FBgn0032366	2L	-	CG14930
FBgn0032369	2L	-	CG6614
FBgn0032372	2L	-	CG4988
FBgn0032374	2L	-	CG14931
FBgn0032381	2L	Maltase B1	Mal-B1
FBgn0032387	2L	-	CG16965
FBgn0032422	2L	atilla	atilla
FBgn0032431	2L	-	CG5435
FBgn0032435	2L	Organic anion transporting polypeptide 33Eb	Oatp33Eb
FBgn0032439	2L	RNA and export factor binding protein 2	Ref2
FBgn0032449	2L	-	CG17036
FBgn0032455	2L	PIH1 domain containing 1	Pih1D1
FBgn0032457	2L	-	CG15483
FBgn0032472	2L	-	CG9928
FBgn0032478	2L	Radial spoke head protein 1	Rsph1
FBgn0032482	2L	Phosphoethanolamine cytidylyltransferase	Pect
FBgn0032484	2L	kekkon 4	kek4
FBgn0032492	2L	Proteasome alpha6 subunit, Testis-specific	Prosalpha6T
FBgn0032495	2L	-	CG16820
FBgn0032503	2L	-	CG16825
FBgn0032507	2L	-	CG9377
FBgn0032513	2L	-	CG6565
FBgn0032516	2L	Inhibitor of growth family member 5	Ing5
FBgn0032530	2L	-	CG9263
FBgn0032533	2L	-	CG16888
FBgn0032553	2L	-	CG4480
FBgn0032554	2L	-	CG15278
FBgn0032577	2L	-	CG13244
FBgn0032590	2L	-	CG4631
FBgn0032598	2L	ChLD3	ChLD3
FBgn0032601	2L	yellow-b	yellow-b
FBgn0032609	2L	-	CG13280
FBgn0032624	2L	-	CG6304
FBgn0032625	2L	-	CG15136
FBgn0032626	2L	-	CG12620
FBgn0032635	2L	-	CG15141
FBgn0032637	2L	-	CG5050
FBgn0032645	2L	-	CG15142
FBgn0032648	2L	-	CG15144
FBgn0032649	2L	-	CG15145
FBgn0032654	2L	-	CG15147
FBgn0032658	2L	-	CG5681
FBgn0032660	2L	elfless	elfless
FBgn0032664	2L	Solute carrier family 25 member 46b	Slc25A46b
FBgn0032665	2L	-	CG15152
FBgn0032669	2L	-	CG15155
FBgn0032680	2L	Nuclear transport factor-2-related	Ntf-2r
FBgn0032689	2L	-	CG10413
FBgn0032702	2L	-	CG10376
FBgn0032703	2L	-	CG10343
FBgn0032704	2L	Jwa	Jwa
FBgn0032723	2L	short spindle 3	ssp3
FBgn0032726	2L	-	CG10621
FBgn0032727	2L	-	CG10623
FBgn0032731	2L	Swiprosin-1	Swip-1
FBgn0032740	2L	-	CG15172
FBgn0032763	2L	-	CG17568
FBgn0032769	2L	-	CG10750
FBgn0032770	2L	-	CG13086
FBgn0032771	2L	-	CG17349
FBgn0032774	2L	-	CG17549
FBgn0032782	2L	Rab9	Rab9
FBgn0032801	2L	-	CG10165
FBgn0032817	2L	-	CG10631
FBgn0032820	2L	fructose-1,6-bisphosphatase	fbp
FBgn0032835	2L	-	CG16772
FBgn0032839	2L	Arylalkylamine N-acetyltransferase-like 3	AANATL3
FBgn0032843	2L	-	CG10730
FBgn0032846	2L	Pyridine nucleotide-disulfide oxidoreductase domain 1	Pyroxd1
FBgn0032848	2L	nessun dorma	nesd
FBgn0032849	2L	mitochondrial ribosomal protein S18B	mRpS18B
FBgn0032851	2L	-	CG13970
FBgn0032864	2L	-	CG2493
FBgn0032867	2L	-	CG15475
FBgn0032868	2L	-	CG17472
FBgn0032869	2L	-	CG17470
FBgn0032878	2L	-	CG9316
FBgn0032884	2L	Pomp	Pomp
FBgn0032889	2L	-	CG9331
FBgn0032899	2L	-	CG9338
FBgn0032901	2L	skywalker	sky
FBgn0032908	2L	-	CG9270
FBgn0032910	2L	-	CG9265
FBgn0032913	2L	-	CG9259
FBgn0032945	2L	-	CG8665
FBgn0032964	2L	-	CG11630
FBgn0032965	2L	-	CG11629
FBgn0032967	2L	-	CG1428
FBgn0032968	2L	-	CG11634
FBgn0032973	2L	-	CG6675
FBgn0033020	2R	Cytochrome c oxidase subunit 4-like	COX4L
FBgn0033051	2R	Ser/Thr-rich caspase	Strica
FBgn0033056	2R	-	CG7856
FBgn0033065	2R	Cytochrome P450 6w1	Cyp6w1
FBgn0033069	2R	eukaryotic translation initiation factor 3 subunit f2	eIF3f2
FBgn0033089	2R	-	CG17266
FBgn0033115	2R	Serpin 42De	Spn42De
FBgn0033139	2R	Tetraspanin 42Er	Tsp42Er
FBgn0033145	2R	-	CG12828
FBgn0033164	2R	-	CG11112
FBgn0033165	2R	-	CG11113
FBgn0033204	2R	-	CG2065
FBgn0033205	2R	-	CG2064
FBgn0033214	2R	-	CG1941
FBgn0033216	2R	-	CG1946
FBgn0033221	2R	-	CG12825
FBgn0033222	2R	-	CG12824
FBgn0033232	2R	-	CG12159
FBgn0033233	2R	Lysine demethylase 4A	Kdm4A
FBgn0033234	2R	Major Facilitator Superfamily Transporter 12	MFS12
FBgn0033236	2R	-	CG14764
FBgn0033240	2R	-	CG2906
FBgn0033244	2R	-	CG8726
FBgn0033246	2R	Acetyl-CoA carboxylase	ACC
FBgn0033260	2R	Cullin 4	Cul4
FBgn0033261	2R	under-developed	udd
FBgn0033265	2R	coilin	coil
FBgn0033268	2R	Odorant-binding protein 44a	Obp44a
FBgn0033274	2R	-	CG14757
FBgn0033279	2R	-	CG2291
FBgn0033286	2R	-	CG2127
FBgn0033294	2R	Maltase A4	Mal-A4
FBgn0033301	2R	-	CG12780
FBgn0033302	2R	Cytochrome P450 6a14	Cyp6a14
FBgn0033309	2R	Lunapark	Lnpk
FBgn0033313	2R	Calcium-independent receptor for alpha-latrotoxin	Cirl
FBgn0033326	2R	-	CG14743
FBgn0033350	2R	-	CG8237
FBgn0033351	2R	aaRS-interacting multifunctional protein 1	AIMP1
FBgn0033364	2R	-	CG13747
FBgn0033366	2R	Ance-4	Ance-4
FBgn0033367	2R	Prophenoloxidase 2	PPO2
FBgn0033371	2R	Concentrative nucleoside transporter 1	CNT1
FBgn0033387	2R	-	CG8008
FBgn0033397	2R	Cytochrome P450 4p3	Cyp4p3
FBgn0033408	2R	-	CG8800
FBgn0033423	2R	Alkaline phosphatase 6	Alp6
FBgn0033428	2R	Uroporphyrinogen decarboxylase	Urod
FBgn0033437	2R	-	CG12926
FBgn0033440	2R	-	CG10459
FBgn0033446	2R	-	CG1648
FBgn0033447	2R	dilatory	dila
FBgn0033453	2R	Sting	Sting
FBgn0033458	2R	Linking immunity and metabolism	Lime
FBgn0033461	2R	-	CG12923
FBgn0033468	2R	-	CG1418
FBgn0033483	2R	eiger	egr
FBgn0033490	2R	-	CG12917
FBgn0033504	2R	CAP	CAP
FBgn0033524	2R	Cytochrome P450 49a1	Cyp49a1
FBgn0033542	2R	Carbonic anhydrase 13	CAH13
FBgn0033571	2R	RNA polymerase II, I and III subunit E	Polr2E
FBgn0033572	2R	polyphemus	polyph
FBgn0033597	2R	Cuticular protein 47Ea	Cpr47Ea
FBgn0033628	2R	-	CG13203
FBgn0033636	2R	toutatis	tou
FBgn0033659	2R	Death associated molecule related to Mch2 caspase	Damm
FBgn0033669	2R	Proteasome inhibitor 31 kDa	PI31
FBgn0033679	2R	-	CG8888
FBgn0033680	2R	-	CG13186
FBgn0033687	2R	-	CG8407
FBgn0033696	2R	Cytochrome P450 6g2	Cyp6g2
FBgn0033705	2R	-	CG13168
FBgn0033706	2R	Vacuolar H[+] ATPase 36kD subunit 2	Vha36-2
FBgn0033713	2R	-	CG8841
FBgn0033717	2R	-	CG8839
FBgn0033723	2R	-	CG13155
FBgn0033742	2R	Neprilysin-like 10	Nepl10
FBgn0033755	2R	Chloride channel-b	ClC-b
FBgn0033762	2R	Zinc transporter 49B	ZnT49B
FBgn0033767	2R	-	CG13148
FBgn0033774	2R	-	CG12374
FBgn0033777	2R	-	CG17574
FBgn0033787	2R	-	CG13321
FBgn0033788	2R	-	CG13323
FBgn0033789	2R	-	CG13324
FBgn0033792	2R	-	CG13325
FBgn0033815	2R	-	CG4676
FBgn0033819	2R	-	CG4714
FBgn0033820	2R	-	CG4716
FBgn0033821	2R	-	CG10799
FBgn0033828	2R	-	CG17048
FBgn0033834	2R	-	CG4744
FBgn0033836	2R	-	CG18278
FBgn0033845	2R	mars	mars
FBgn0033853	2R	-	CG6145
FBgn0033856	2R	-	CG13334
FBgn0033860	2R	Sperm-Leucylaminopeptidase 5	S-Lap5
FBgn0033865	2R	-	CG6220
FBgn0033873	2R	-	CG6337
FBgn0033884	2R	-	CG13344
FBgn0033887	2R	Sulfotransferase 4	St4
FBgn0033905	2R	-	CG18324
FBgn0033926	2R	Activity-regulated cytoskeleton associated protein 1	Arc1
FBgn0033928	2R	Arc2	Arc2
FBgn0033942	2R	Cuticular protein 51A	Cpr51A
FBgn0033945	2R	-	CG12868
FBgn0033952	2R	Adenosine deaminase-related growth factor E	Adgf-E
FBgn0033953	2R	-	CG12861
FBgn0033955	2R	Tarag	Targ
FBgn0033963	2R	-	CG12857
FBgn0033978	2R	Cytochrome P450 6a23	Cyp6a23
FBgn0033999	2R	-	CG8093
FBgn0034011	2R	-	CG8160
FBgn0034012	2R	Hormone receptor 51	Hr51
FBgn0034025	2R	Polypeptide N-Acetylgalactosaminyltransferase 1	Pgant1
FBgn0034031	2R	-	CG12963
FBgn0034045	2R	-	CG8249
FBgn0034049	2R	bedraggled	bdg
FBgn0034052	2R	-	CG8299
FBgn0034053	2R	Cytochrome P450 4aa1	Cyp4aa1
FBgn0034063	2R	-	CG8389
FBgn0034075	2R	Aspartyl beta-hydroxylase	Asph
FBgn0034085	2R	Protein tyrosine phosphatase 52F	Ptp52F
FBgn0034097	2R	-	CG3687
FBgn0034104	2R	-	CG15705
FBgn0034117	2R	-	CG7997
FBgn0034129	2R	Poly(ADP-ribose) polymerase family member 16	Parp16
FBgn0034140	2R	Limostatin	Lst
FBgn0034141	2R	-	CG8311
FBgn0034151	2R	-	CG15617
FBgn0034152	2R	Accessory gland protein 53C14a	Acp53C14a
FBgn0034153	2R	Accessory gland protein 53C14b	Acp53C14b
FBgn0034162	2R	-	CG6426
FBgn0034175	2R	ste24b prenyl protease type I	ste24b
FBgn0034187	2R	Mov10 RISC complex RNA helicase	Mov10
FBgn0034205	2R	-	CG10950
FBgn0034223	2R	Testin	Tes
FBgn0034229	2R	-	CG4847
FBgn0034246	2R	Dicer-2	Dcr-2
FBgn0034247	2R	-	CG6484
FBgn0034251	2R	NADH dehydrogenase (ubiquinone) 51 kDa subunit-like 1	ND-51L1
FBgn0034259	2R	P32	P32
FBgn0034275	2R	-	CG5002
FBgn0034278	2R	-	CG14488
FBgn0034279	2R	-	CG18635
FBgn0034282	2R	Mapmodulin	Mapmodulin
FBgn0034289	2R	-	CG10910
FBgn0034290	2R	-	CG5773
FBgn0034293	2R	-	CG14495
FBgn0034294	2R	Mucin 55B	Muc55B
FBgn0034295	2R	-	CG10911
FBgn0034296	2R	-	CG10912
FBgn0034317	2R	-	CG14499
FBgn0034318	2R	-	CG14500
FBgn0034322	2R	-	CG18536
FBgn0034325	2R	-	CG18539
FBgn0034328	2R	Bomanin Bicipital 1	BomBc1
FBgn0034335	2R	Glutathione S transferase E1	GstE1
FBgn0034368	2R	zonda	zda
FBgn0034380	2R	Vacuolar protein sorting 51	Vps51
FBgn0034381	2R	Lithium-inducible SLC6 transporter	List
FBgn0034394	2R	-	CG15096
FBgn0034400	2R	-	CG15099
FBgn0034408	2R	serrano	sano
FBgn0034415	2R	-	CG15116
FBgn0034417	2R	-	CG15117
FBgn0034423	2R	testis-specifically expressed bromodomain containing protein-2	tbrd-2
FBgn0034435	2R	wurstfest	fest
FBgn0034436	2R	-	CG11961
FBgn0034437	2R	-	CG10051
FBgn0034439	2R	-	CG10062
FBgn0034442	2R	-	CG11257
FBgn0034464	2R	-	CG11018
FBgn0034468	2R	Odorant-binding protein 56a	Obp56a
FBgn0034470	2R	Odorant-binding protein 56d	Obp56d
FBgn0034471	2R	Odorant-binding protein 56e	Obp56e
FBgn0034472	2R	-	CG8517
FBgn0034474	2R	Odorant-binding protein 56g	Obp56g
FBgn0034477	2R	-	CG13872
FBgn0034478	2R	-	CG10822
FBgn0034479	2R	-	CG8654
FBgn0034480	2R	-	CG16898
FBgn0034484	2R	-	CG11044
FBgn0034487	2R	EF-hand domain containing 1.2	Efhc1.2
FBgn0034490	2R	-	CG9864
FBgn0034494	2R	-	CG10444
FBgn0034502	2R	-	CG13871
FBgn0034535	2R	-	CG11110
FBgn0034546	2R	-	CG13442
FBgn0034552	2R	-	CG17999
FBgn0034554	2R	Carbonic anhydrase 14	CAH14
FBgn0034560	2R	Carbonic anhydrase 15	CAH15
FBgn0034566	2R	-	CG9313
FBgn0034572	2R	-	CG9346
FBgn0034577	2R	capping protein alpha	cpa
FBgn0034582	2R	Chitinase 9	Cht9
FBgn0034592	2R	-	CG9406
FBgn0034595	2R	-	CG15657
FBgn0034618	2R	-	CG9485
FBgn0034629	2R	acyl-Coenzyme A oxidase at 57D distal	Acox57D-d
FBgn0034644	2R	-	CG10082
FBgn0034647	2R	poor Imd response upon knock-in	pirk
FBgn0034650	2R	Negative Cofactor 2alpha	NC2alpha
FBgn0034659	2R	-	CG4021
FBgn0034662	2R	-	CG13492
FBgn0034663	2R	-	CG4363
FBgn0034664	2R	-	CG4377
FBgn0034671	2R	-	CG13494
FBgn0034681	2R	-	CG9308
FBgn0034684	2R	-	CG13501
FBgn0034687	2R	-	CG11475
FBgn0034692	2R	-	CG13502
FBgn0034706	2R	-	CG11275
FBgn0034707	2R	Mediator complex subunit 16	MED16
FBgn0034712	2R	Alkaline phosphatase 8	Alp8
FBgn0034713	2R	-	CG11291
FBgn0034715	2R	Organic anion transporting polypeptide 58Db	Oatp58Db
FBgn0034718	2R	windpipe	wdp
FBgn0034726	2R	DNA polymerase epsilon subunit 4	PolE4
FBgn0034733	2R	-	CG4752
FBgn0034739	2R	-	CG3927
FBgn0034741	2R	-	CG4269
FBgn0034745	2R	-	CG4329
FBgn0034774	2R	-	CG13526
FBgn0034786	2R	-	CG13531
FBgn0034795	2R	Mediator complex subunit 23	MED23
FBgn0034800	2R	-	CG3788
FBgn0034808	2R	-	CG9896
FBgn0034822	2R	Ribosomal protein L37b	RpL37b
FBgn0034825	2R	Glycerol-3-phosphate dehydrogenase 2	Gpdh2
FBgn0034826	2R	-	CG13544
FBgn0034827	2R	Kinesin-like protein at 59D	Klp59D
FBgn0034835	2R	-	CG3092
FBgn0034837	2R	Ribosomal protein L22-like	RpL22-like
FBgn0034838	2R	-	CG12782
FBgn0034839	2R	-	CG13540
FBgn0034842	2R	Proteasome beta5 subunit-related 1	Prosbeta5R1
FBgn0034854	2R	Golgin-245	Golgin245
FBgn0034858	2R	eukaryotic translation initiation factor 2B subunit delta	eIF2Bdelta
FBgn0034867	2R	-	CG13557
FBgn0034882	2R	Entomoglyceroporin 1	Eglp1
FBgn0034883	2R	Entomoglyceroporin 2	Eglp2
FBgn0034885	2R	Entomoglyceroporin 4	Eglp4
FBgn0034903	2R	sol narae	sona
FBgn0034913	2R	Synaptosomal-associated protein 29kDa	Snap29
FBgn0034920	2R	-	CG5597
FBgn0034937	2R	fizzy-related 2	fzr2
FBgn0034997	2R	-	CG3376
FBgn0034998	2R	-	CG13577
FBgn0035020	2R	-	CG13585
FBgn0035036	2R	-	CG4707
FBgn0035040	2R	-	CG4741
FBgn0035042	2R	-	CG3640
FBgn0035043	2R	-	CG4781
FBgn0035087	2R	-	CG2765
FBgn0035089	2R	Pherokine 3	Phk-3
FBgn0035094	2R	-	CG9380
FBgn0035097	3L	-	CG13405
FBgn0035101	3L	p130CAS	p130CAS
FBgn0035113	3L	pyrexia	pyx
FBgn0035120	3L	wee Augmin	wac
FBgn0035124	3L	tiny tim 2	ttm2
FBgn0035132	3L	methuselah-like 10	mthl10
FBgn0035147	3L	UDP-galactose 4'-epimerase	Gale
FBgn0035154	3L	highroad	hiro
FBgn0035162	3L	Splicing factor 3b subunit 3	Sf3b3
FBgn0035164	3L	-	CG13901
